Symbol,Yahoo_Ticker,Big Sectors,Industry
SURYODAY,SURYODAY.NS,Services,Banks - Regional
SUTLEJTEX,SUTLEJTEX.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SUVEN,SUVEN.NS,Healthcare,Pharmaceuticals & Biotechnology
SUVIDHAA,SUVIDHAA.NS,Information Technology,IT - Services
SUYOG,SUYOG.NS,Telecommunication,Telecom - Services
SUZLON,SUZLON.NS,Industrials,Industrial Manufacturing
SVLL,SVLL.NS,Industrials,Industrial Products
SVPGLOB,SVPGLOB.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SWANENERGY,SWANENERGY.NS,Industrials,Industrial Products
SWARAJENG,SWARAJENG.NS,Consumer Discretionary,Automobile & Auto Components
SWELECTES,SWELECTES.NS,Information Technology,IT - Hardware
SWIGGY,SWIGGY.NS,Consumer Discretionary,Retailing
SWSOLAR,SWSOLAR.NS,Information Technology,IT - Hardware
SYMPHONY,SYMPHONY.NS,Consumer Discretionary,Consumer Durables
SYNCOMF,SYNCOMF.NS,Healthcare,Pharmaceuticals & Biotechnology
SYNGENE,SYNGENE.NS,Healthcare,Pharmaceuticals & Biotechnology
SYRMA,SYRMA.NS,Information Technology,IT - Hardware
TAINWALCHM,TAINWALCHM.NS,Commodities,Fertilizers & Agrochemicals
TAJGVK,TAJGVK.NS,Consumer Discretionary,Leisure Services
TAKE,TAKE.NS,Healthcare,Pharmaceuticals & Biotechnology
TALBROAUTO,TALBROAUTO.NS,Consumer Discretionary,Automobile & Auto Components
TANLA,TANLA.NS,Information Technology,IT - Software
TARACHAND,TARACHAND.NS,Industrials,"Agricultural, Commercial & Construction Vehicles"
TARAPUR,TARAPUR.NS,Industrials,Industrial Manufacturing
TARC,TARC.NS,Consumer Discretionary,Realty
TARIL,TARIL.NS,Industrials,Electrical Equipment
TARMAT,TARMAT.NS,Industrials,Construction
TARSONS,TARSONS.NS,Healthcare,Healthcare Equipment & Supplies
TASTYBITE,TASTYBITE.NS,Fast Moving consumer goods,Food Products
TATACHEM,TATACHEM.NS,Commodities,Chemicals & Petrochemicals
TATACOMM,TATACOMM.NS,Telecommunication,Telecom - Services
TATACONSUM,TATACONSUM.NS,Fast Moving consumer goods,Food Products
TATAELXSI,TATAELXSI.NS,Information Technology,IT - Software
TATAINVEST,TATAINVEST.NS,Services,Capital Markets
TATAMOTORS,TATAMOTORS.NS,Consumer Discretionary,Automobile & Auto Components
TATAPOWER,TATAPOWER.NS,Utilities,Utilities
TATASTEEL,TATASTEEL.NS,Commodities,Ferrous Metals
TATATECH,TATATECH.NS,Information Technology,IT - Services
TATVA,TATVA.NS,Commodities,Fertilizers & Agrochemicals
TBOTEK,TBOTEK.NS,Consumer Discretionary,Consumer Services
TBZ,TBZ.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
TCI,TCI.NS,Industrials,Industrial Products
TCIEXP,TCIEXP.NS,Industrials,Industrial Products
TCIFINANCE,TCIFINANCE.NS,Services,Credit Services
TCPLPACK,TCPLPACK.NS,Consumer Discretionary,Retailing
TCS,TCS.NS,Information Technology,IT - Services
TDPOWERSYS,TDPOWERSYS.NS,Industrials,Industrial Manufacturing
TEAMLEASE,TEAMLEASE.NS,Industrials,Industrial Products
TECHM,TECHM.NS,Information Technology,IT - Services
TECHNOE,TECHNOE.NS,Industrials,Construction
TECILCHEM,TECILCHEM.NS,Services,Shell Companies
TEGA,TEGA.NS,Industrials,Industrial Manufacturing
TEJASNET,TEJASNET.NS,Information Technology,IT - Hardware
TEMBO,TEMBO.NS,Industrials,Industrial Manufacturing
TERASOFT,TERASOFT.NS,Information Technology,IT - Services
TEXINFRA,TEXINFRA.NS,Consumer Discretionary,Realty
TEXMOPIPES,TEXMOPIPES.NS,Industrials,Construction
TEXRAIL,TEXRAIL.NS,Industrials,Industrial Products
TFCILTD,TFCILTD.NS,Services,Credit Services
TFL,TFL.NS,Services,Mortgage Finance
TGBHOTELS,TGBHOTELS.NS,Consumer Discretionary,Leisure Services
THANGAMAYL,THANGAMAYL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
THEINVEST,THEINVEST.NS,Services,Capital Markets
THEJO,THEJO.NS,Industrials,Industrial Manufacturing
THELEELA,THELEELA.NS,Consumer Discretionary,Leisure Services
THEMISMED,THEMISMED.NS,Healthcare,Pharmaceuticals & Biotechnology
THERMAX,THERMAX.NS,Industrials,Industrial Products
THOMASCOOK,THOMASCOOK.NS,Consumer Discretionary,Consumer Services
THOMASCOTT,THOMASCOTT.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
THYROCARE,THYROCARE.NS,Healthcare,Pharmaceuticals & Biotechnology
TI,TI.NS,Fast Moving consumer goods,Beverages
TICL,TICL.NS,Industrials,Construction
TIIL,TIIL.NS,Industrials,Industrial Manufacturing
TIINDIA,TIINDIA.NS,Industrials,Industrial Products
TIJARIA,TIJARIA.NS,Industrials,Construction
TIL,TIL.NS,Industrials,"Agricultural, Commercial & Construction Vehicles"
TIMESGTY,TIMESGTY.NS,Services,Asset Management
TIMETECHNO,TIMETECHNO.NS,Consumer Discretionary,Retailing
TIMKEN,TIMKEN.NS,Industrials,Industrial Manufacturing
TINNARUBR,TINNARUBR.NS,Commodities,Fertilizers & Agrochemicals
TIPSFILMS,TIPSFILMS.NS,Telecommunication,Telecom - Equipment & Accessories
TIPSMUSIC,TIPSMUSIC.NS,Telecommunication,Telecom - Equipment & Accessories
