Company Name,Symbol,SERIES
Bhagiradha Chemicals & Industries Limited,BHAGCHEM,EQ
Bhageria Industries Limited,BHAGERIA,EQ
Bhagyanagar India Limited,BHAGYANGR,BE
Bhandari Hosiery Exports Limited,BHANDARI,EQ
Bharat Coking Coal Limited,BHARATCOAL,EQ
Bharat Forge Limited,BHARATFORG,EQ
Bharat Gears Limited,BHARATGEAR,EQ
Bharat Rasayan Limited,BHARATRAS,EQ
Bharat Seats Limited,BHARATSE,EQ
Bharat Wire Ropes Limited,BHARATWIRE,EQ
Bharti Airtel Limited,BHARTIARTL,EQ
Bharti Hexacom Limited,BHARTIHEXA,EQ
Bharat Heavy Electricals Limited,BHEL,EQ
Bilcare Limited,BI,EQ
Bigbloc Construction Limited,BIGBLOC,EQ
Bikaji Foods International Limited,BIKAJI,EQ
Bhartiya International Limited,BIL,EQ
BIL VYAPAR LIMITED,BILVYAPAR,BE
Bimetal Bearings Limited,BIMETAL,EQ
Biocon Limited,BIOCON,EQ
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,EQ
Birla Cable Limited,BIRLACABLE,BE
Birla Corporation Limited,BIRLACORPN,EQ
Aditya Birla Money Limited,BIRLAMONEY,EQ
BirlaNu Limited,BIRLANU,EQ
Birla Precision Technologies Limited,BIRLAPREC,EQ
BLACKBUCK LIMITED,BLACKBUCK,EQ
Black Rose Inds. Limited,BLACKROSE,EQ
BEML Land Assets Limited,BLAL,EQ
BLB Limited,BLBLIMITED,BE
Balmer Lawrie Investments Limited,BLIL,EQ
Bliss GVS Pharma Limited,BLISSGVS,EQ
B. L. Kashyap and Sons Limited,BLKASHYAP,EQ
BLS International Services Limited,BLS,EQ
BLS E-Services Limited,BLSE,EQ
Blue Chip India Limited,BLUECHIP,BE
Blue Coast Hotels Limited,BLUECOAST,BE
Blue Dart Express Limited,BLUEDART,EQ
Blue Jet Healthcare Limited,BLUEJET,EQ
Blue Star Limited,BLUESTARCO,EQ
BlueStone Jewellery and Lifestyle Limited,BLUESTONE,EQ
Bluspring Enterprises Limited,BLUSPRING,EQ
BMW Ventures Limited,BMWVENTLTD,EQ
BN Agrochem Limited,BNAGROCHEM,EQ
B & A Limited,BNALTD,EQ
Bodal Chemicals Limited,BODALCHEM,EQ
Bohra Industries Limited,BOHRAIND,BE
Bombay Dyeing & Mfg Company Limited,BOMDYEING,EQ
Bonlon Industries Limited,BONLON,EQ
Borana Weaves Limited,BORANA,EQ
Borosil Limited,BOROLTD,EQ
BOROSIL RENEWABLES LIMITED,BORORENEW,EQ
Borosil Scientific Limited,BOROSCI,EQ
BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL,EQ
Bosch Limited,BOSCHLTD,EQ
Bharat Petroleum Corporation Limited,BPCL,EQ
BPL Limited,BPL,EQ
Brigade Enterprises Limited,BRIGADE,EQ
Brigade Hotel Ventures Limited,BRIGHOTEL,EQ
Britannia Industries Limited,BRITANNIA,EQ
Bharat Road Network Limited,BRNL,EQ
Brooks Laboratories Limited,BROOKS,BE
BSE Limited,BSE,EQ
Bombay Super Hybrid Seeds Limited,BSHSL,EQ
BSL Limited,BSL,EQ
BIRLASOFT LIMITED,BSOFT,EQ
Bodhi Tree Multimedia Limited,BTML,EQ
Bhilwara Technical Textiles Limited,BTTL,EQ
Shankara Buildpro Limited,BUILDPRO,EQ
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,EQ
Barak Valley Cements Limited,BVCL,EQ
The Byke Hospitality Ltd,BYKE,BE
California Software Company Limited,CALSOFT,EQ
Camlin Fine Sciences Limited,CAMLINFINE,EQ
Campus Activewear Limited,CAMPUS,EQ
Computer Age Management Services Limited,CAMS,EQ
Canara Bank,CANBK,EQ
Can Fin Homes Limited,CANFINHOME,EQ
Canara HSBC Life Insurance Company Limited,CANHLIFE,EQ
Cantabil Retail India Limited,CANTABIL,EQ
Capacit'e Infraprojects Limited,CAPACITE,EQ
Capillary Technologies India Limited,CAPILLARY,EQ
Capital Small Finance Bank Limited,CAPITALSFB,EQ
Caplin Point Laboratories Limited,CAPLIPOINT,EQ
Capital Trust Limited,CAPTRUST,BE
Carborundum Universal Limited,CARBORUNIV,EQ
CARE Ratings Limited,CARERATING,EQ
Carraro India Limited,CARRARO,EQ
Cartrade Tech Limited,CARTRADE,EQ
CARYSIL LIMITED,CARYSIL,EQ
Castrol India Limited,CASTROLIND,EQ
AvenuesAI Limited,CCAVENUE,EQ
